subset,measure,n,mean_auto,mean_manual,pearson_r,spearman_rho,icc_2_1,mae
ST1,AR,19,3.7794,3.7653,0.958,0.916,0.958,0.1533
ST1,SR,19,2.2915,2.3435,0.991,0.981,0.987,0.0832
ST1,MLR,19,5.4526,5.7105,0.969,0.965,0.961,0.4337
ST1,MCPR,19,0.1048,0.101,0.966,0.984,0.965,0.0128
ST1,ECPR,19,0.0972,0.0981,0.774,0.781,0.775,0.0097
ST1,PR,19,0.202,0.1991,0.954,0.966,0.952,0.0153
ST1,MCPD,19,0.7862,0.7317,0.713,0.741,0.669,0.0968
ST1,ECPD,19,1.1251,1.0516,0.916,0.905,0.904,0.1405
ST1,MPD,19,0.9474,0.9058,0.934,0.868,0.92,0.0934
