lexicon_mode	pred_set	n_files	files_with_manual_fillers	files_with_pred_fillers	manual_event_count	pred_event_count	matched_manual_event_count	matched_pred_event_count	event_recall_micro	event_precision_micro	manual_filler_duration_sec	pred_filler_duration_sec	overlap_duration_sec	duration_recall_micro	duration_precision_micro	duration_f1_micro	duration_recall_macro	duration_precision_macro	duration_f1_macro	event_recall_macro	event_precision_macro
conservative	words_only	40	34	30	240	134	75	75	0.3125	0.5597014925373134	121.629686	40.11	23.594783	0.19398868628173552	0.58825188232361	0.2917624435106174	0.2553641417032299	0.5313149851987724	0.43983166966718124	0.3283770038841033	0.5322095959595959
conservative	words_plus_classifier	40	34	35	240	176	86	86	0.35833333333333334	0.48863636363636365	121.629686	75.96	29.127771	0.23947912683092842	0.38346196682464456	0.29483088504933397	0.3166829488330771	0.37673771090745206	0.37818166021405447	0.3954363863376809	0.45855275443510735
permissive	words_only	40	39	39	682	399	331	332	0.48533724340175954	0.8320802005012531	272.271775	109.454	92.498026	0.339726826256596	0.845085844281616	0.48463075882156503	0.42699976596641465	0.8195265872786305	0.5291010381132499	0.5327502568986782	0.8333855048042265
permissive	words_plus_classifier	40	39	39	682	435	353	352	0.5175953079178885	0.8091954022988506	272.271775	145.304	103.081403	0.37859746203953754	0.7094188941804768	0.4937135206179047	0.46451693968714663	0.7137327777531457	0.5260708310329633	0.5636481631597015	0.8070618986431591
