AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,file
3.98,2.024,6.9,0.0552,0.0966,0.1517,0.54,2.207,1.601,145,71.64,36.43,22,8,14,20,ALL_143_M_FAR_ENG_ST1.TextGrid
3.896,1.93,6.85,0.0712,0.0783,0.1495,0.483,2.901,1.75,281,145.62,72.13,42,20,22,30,ALL_143_M_FAR_ENG_ST2.TextGrid
4.422,1.735,5.57,0.0865,0.0962,0.1827,1.061,2.689,1.918,312,179.87,70.55,57,27,30,37,ALL_144_M_RUS_ENG_ST1.TextGrid
4.389,2.02,6.0,0.0735,0.0956,0.1691,0.964,2.053,1.58,408,201.96,92.95,69,30,39,49,ALL_144_M_RUS_ENG_ST2.TextGrid
3.45,1.962,5.94,0.1058,0.0673,0.1731,0.69,2.181,1.27,208,106.01,60.29,36,22,14,26,ALL_145_F_VIE_ENG_ST1.TextGrid
3.462,2.058,6.38,0.1098,0.0471,0.1569,0.792,2.339,1.256,255,123.89,73.65,40,28,12,25,ALL_145_F_VIE_ENG_ST2.TextGrid
3.239,1.69,7.36,0.037,0.1111,0.1481,0.685,2.319,1.911,81,47.94,25.01,12,3,9,11,ALL_146_F_VIE_ENG_ST1.TextGrid
2.809,1.805,4.88,0.119,0.0905,0.2095,0.729,1.229,0.945,210,116.33,74.76,44,25,19,24,ALL_146_F_VIE_ENG_ST2.TextGrid
4.427,2.67,7.08,0.0529,0.0941,0.1471,0.744,1.161,1.011,170,63.67,38.4,25,9,16,24,ALL_149_M_HIN_ENG_ST1.TextGrid
4.471,2.827,8.86,0.0323,0.0847,0.1169,0.499,1.346,1.113,248,87.74,55.47,29,8,21,33,ALL_149_M_HIN_ENG_ST2.TextGrid
3.909,2.532,11.72,0.019,0.0711,0.09,0.379,1.856,1.545,211,83.34,53.97,19,4,15,25,ALL_150_F_HIN_ENG_ST1.TextGrid
3.794,2.826,9.94,0.0374,0.0661,0.1034,0.507,1.079,0.873,348,123.14,91.72,36,13,23,40,ALL_150_F_HIN_ENG_ST2.TextGrid
3.342,1.847,5.43,0.092,0.0982,0.1902,1.056,1.478,1.274,163,88.26,48.77,31,15,16,21,ALL_151_M_HEB_ENG_ST1.TextGrid
3.257,2.048,6.6,0.0823,0.0736,0.1558,0.671,1.714,1.163,231,112.8,70.92,36,19,17,34,ALL_151_M_HEB_ENG_ST2.TextGrid
