track,subset,measure,n,mean_auto,mean_manual,pearson_r,pearson_p,spearman_rho,spearman_p,icc_2_1,bias,mae
vad_gold40,Overall,ECPR,40,0.0963,0.0907,0.88,7.45116540595166e-14,0.897,4.806897053547744e-15,0.853,0.0056,0.0085
vad_gold40,Overall,PR,40,0.209,0.1938,0.969,1.0143395529961845e-24,0.969,1.1222023682985228e-24,0.941,0.0152,0.0179
vad_gold40,Overall,MCPD,40,0.6869,0.7199,0.895,6.309053834239646e-15,0.889,1.934388169094555e-14,0.881,-0.033,0.0698
vad_gold40,Overall,ECPD,40,1.0045,1.1077,0.967,3.72210649076232e-24,0.923,2.581132272625352e-17,0.937,-0.1033,0.1347
vad_gold40,Overall,MPD,40,0.8378,0.9058,0.974,4.310207186518378e-26,0.941,1.9313463288497779e-19,0.94,-0.0679,0.0769
vad_gold40,ST1,AR,20,3.6272,3.7701,0.96,2.259366995791041e-11,0.935,1.4821142098475236e-09,0.936,-0.143,0.2001
vad_gold40,ST1,SR,20,2.2677,2.3126,0.989,1.4987213775325957e-16,0.958,3.389666746806415e-11,0.986,-0.0449,0.0835
vad_gold40,ST1,MLR,20,5.503,5.687,0.954,7.906412482156501e-11,0.952,1.102807897899161e-10,0.951,-0.184,0.473
vad_gold40,ST1,MCPR,20,0.1097,0.102,0.977,1.6301686512204844e-13,0.961,1.7590493583431913e-11,0.97,0.0077,0.0115
vad_gold40,ST1,ECPR,20,0.1018,0.0969,0.807,1.7018439134519165e-05,0.792,3.215971618065301e-05,0.791,0.0049,0.0095
vad_gold40,ST1,PR,20,0.2115,0.1989,0.972,9.395577901998042e-13,0.967,3.6244109305567514e-12,0.955,0.0127,0.0173
vad_gold40,ST1,MCPD,20,0.6921,0.7219,0.842,3.195180215753083e-06,0.839,3.707551192479594e-06,0.832,-0.0298,0.07
vad_gold40,ST1,ECPD,20,1.0835,1.1708,0.978,9.550025774194545e-14,0.91,2.702255745187613e-08,0.961,-0.0873,0.1241
vad_gold40,ST1,MPD,20,0.8818,0.9425,0.977,1.604777891034057e-13,0.908,3.1181007427000656e-08,0.954,-0.0607,0.0785
vad_gold40,ST2,AR,20,3.4966,3.6198,0.952,9.852513440522302e-11,0.874,4.872962880719225e-07,0.922,-0.1232,0.1727
vad_gold40,ST2,SR,20,2.3336,2.3802,0.985,2.8276168983599836e-15,0.985,4.425186732738528e-15,0.983,-0.0466,0.0816
vad_gold40,ST2,MLR,20,5.876,6.1815,0.972,8.253487092480804e-13,0.962,1.242702796593179e-11,0.968,-0.3055,0.4725
vad_gold40,ST2,MCPR,20,0.1156,0.1042,0.974,4.436113936431309e-13,0.962,1.242702796593179e-11,0.941,0.0114,0.0121
vad_gold40,ST2,ECPR,20,0.0908,0.0844,0.925,5.2481982024849535e-09,0.934,1.8126865423587169e-09,0.887,0.0063,0.0076
vad_gold40,ST2,PR,20,0.2064,0.1887,0.972,8.590062952378011e-13,0.961,1.7590493583431913e-11,0.93,0.0178,0.0185
vad_gold40,ST2,MCPD,20,0.6816,0.7179,0.927,4.091921481261686e-09,0.921,8.529172183396947e-09,0.911,-0.0363,0.0696
vad_gold40,ST2,ECPD,20,0.9254,1.0447,0.944,4.5044316239427274e-10,0.916,1.4853059816575505e-08,0.882,-0.1192,0.1453
vad_gold40,ST2,MPD,20,0.7939,0.869,0.973,7.339513117070248e-13,0.961,1.7590493583431913e-11,0.922,-0.0752,0.0754
vad_classifier_gold40,Overall,AR,40,3.7329,3.6949,0.957,4.251972635030348e-22,0.918,7.583006983092479e-17,0.954,0.038,0.1536
