AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
4.726,2.253,6.62,0.1067,0.0578,0.1644,0.878,2.4,1.412,225,99.87,47.61,37,24,13,12,35,3,41,8,4,0,37,IID15-ST1.TextGrid
4.97,2.596,7.0,0.0731,0.0797,0.1528,0.93,1.456,1.204,301,115.96,60.56,46,22,24,17,44,3,50,8,4,2,46,IID15-ST2.TextGrid
5.667,3.422,8.88,0.0535,0.0704,0.1239,0.474,1.284,0.934,355,103.75,62.64,44,19,25,17,41,1,49,9,3,0,44,IID22-ST1.TextGrid
5.37,3.169,6.85,0.0612,0.0941,0.1553,0.753,0.884,0.833,425,134.1,79.15,66,26,40,21,62,2,69,11,5,5,66,IID22-ST2.TextGrid
4.128,1.783,4.22,0.1337,0.1142,0.2479,0.973,1.65,1.285,359,201.31,86.96,89,48,41,21,86,3,101,17,8,0,89,IID35-ST1.TextGrid
4.616,1.815,4.69,0.1136,0.1108,0.2244,1.322,1.663,1.49,361,198.94,78.21,81,41,40,16,78,3,89,7,7,6,81,IID35-ST2.TextGrid
3.931,2.017,6.2,0.0806,0.1048,0.1855,0.597,1.844,1.302,124,61.49,31.55,23,10,13,9,21,2,29,9,3,0,23,IID40-ST1.TextGrid
4.424,2.649,8.04,0.0757,0.0541,0.1297,0.644,1.9,1.168,185,69.84,41.82,24,14,10,11,24,1,28,6,1,0,24,IID40-ST2.TextGrid
4.526,1.618,4.22,0.1446,0.1004,0.245,1.356,2.001,1.62,249,153.86,55.01,61,36,25,10,60,1,64,4,2,0,61,IID41-ST1.TextGrid
4.376,1.487,4.11,0.0812,0.1667,0.2479,1.444,1.961,1.792,234,157.39,53.47,58,19,39,13,58,0,58,0,0,0,58,IID41-ST2.TextGrid
4.588,1.756,5.55,0.0956,0.1103,0.2059,1.374,1.995,1.707,272,154.87,59.29,56,26,30,13,49,14,71,39,23,17,56,KKD19-ST1.TextGrid
4.323,1.808,4.74,0.1282,0.1111,0.2393,1.027,1.713,1.345,351,194.18,81.19,84,45,39,28,74,22,93,44,30,15,84,KKD19-ST2.TextGrid
6.083,3.924,17.07,0.0312,0.043,0.0742,0.518,1.728,1.218,256,65.23,42.09,19,8,11,18,16,1,21,7,3,4,19,KKD27-ST1.TextGrid
6.091,4.06,14.62,0.0299,0.0556,0.0855,0.316,1.308,0.961,234,57.64,38.42,20,7,13,10,17,3,26,12,5,4,20,KKD27-ST2.TextGrid
4.597,2.216,5.44,0.0934,0.0994,0.1928,0.726,1.669,1.212,332,149.8,72.22,64,31,33,30,62,9,82,28,12,7,64,KKD46-ST1.TextGrid
4.602,2.422,5.81,0.0848,0.1022,0.187,0.732,1.306,1.046,401,165.57,87.13,75,34,41,32,70,11,88,28,18,14,75,KKD46-ST2.TextGrid
5.73,2.955,7.2,0.0913,0.0635,0.1548,0.66,1.633,1.059,252,85.28,43.98,39,23,16,17,36,6,46,16,9,5,39,KKR24-ST1.TextGrid
5.285,3.178,7.18,0.0759,0.0823,0.1582,0.613,0.959,0.793,316,99.43,59.79,50,24,26,23,45,9,54,19,12,3,50,KKR24-ST2.TextGrid
5.257,3.373,10.74,0.031,0.0759,0.1069,0.44,1.221,0.994,290,85.97,55.16,31,9,22,19,28,7,37,18,12,10,31,KKR40-ST1.TextGrid
4.966,3.101,7.14,0.0825,0.065,0.1475,0.725,0.942,0.821,400,128.99,80.55,59,33,26,29,57,7,70,22,10,5,59,KKR40-ST2.TextGrid
