AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
5.827,3.222,8.53,0.0574,0.0698,0.1272,0.814,1.318,1.091,401,124.45,68.82,51,23,28,25,48,4,57,16,7,6,51,CCH16-ST1.TextGrid
5.858,3.131,8.74,0.0505,0.0741,0.1246,0.66,1.558,1.194,297,94.86,50.7,37,15,22,23,35,5,42,14,6,5,37,CCH16-ST2.TextGrid
4.444,2.732,8.37,0.0346,0.1101,0.1447,0.687,1.065,0.975,318,116.39,71.56,46,11,35,22,39,4,58,24,12,11,46,CCM35-ST1.TextGrid
4.326,3.016,9.17,0.0523,0.0614,0.1136,0.602,1.124,0.884,440,145.91,101.7,50,23,27,28,49,4,64,20,4,2,50,CCM35-ST2.TextGrid
5.146,3.348,8.7,0.0523,0.0697,0.122,0.657,1.004,0.855,287,85.72,55.77,35,15,20,12,33,1,38,6,3,3,35,CCS09-ST1.TextGrid
4.93,3.149,10.16,0.0431,0.0615,0.1046,0.453,1.547,1.097,325,103.21,65.93,34,14,20,19,33,1,40,12,1,1,34,CCS09-ST2.TextGrid
4.61,2.186,5.54,0.0799,0.1146,0.1944,0.914,1.461,1.237,288,131.72,62.47,56,23,33,16,52,9,70,32,12,10,56,CCS45-ST1.TextGrid
4.64,2.032,4.56,0.1141,0.1141,0.2282,0.766,1.659,1.212,333,163.91,71.77,76,38,38,29,74,12,88,33,18,15,76,CCS45-ST2.TextGrid
5.295,3.475,9.23,0.0614,0.0505,0.1119,0.468,1.39,0.884,554,159.44,104.63,62,34,28,35,61,3,70,13,4,4,62,CCT15-ST1.TextGrid
5.346,3.664,8.73,0.0691,0.0471,0.1162,0.5,1.089,0.739,637,173.84,119.16,74,44,30,37,74,0,76,0,0,0,74,CCT15-ST2.TextGrid
5.308,2.79,9.44,0.0516,0.0598,0.1114,0.882,2.083,1.526,368,131.91,69.33,41,19,22,24,40,6,52,18,6,5,41,EAU18-ST1.TextGrid
5.318,2.494,7.7,0.0621,0.0819,0.1441,1.159,1.721,1.478,354,141.95,66.56,51,22,29,22,47,4,59,13,6,6,51,EAU18-ST2.TextGrid
5.234,2.565,6.74,0.0873,0.0699,0.1572,0.616,2.075,1.265,229,89.28,43.75,36,20,16,16,35,5,42,12,5,1,36,ENZ20-ST1.TextGrid
4.656,1.877,4.82,0.1259,0.1111,0.237,0.681,2.091,1.342,135,71.93,28.99,32,17,15,13,29,1,40,12,4,4,32,ENZ20-ST2.TextGrid
5.875,2.378,8.27,0.0604,0.0659,0.1264,0.828,3.037,1.981,182,76.54,30.98,23,11,12,13,23,0,23,0,0,0,23,ENZ31-ST1.TextGrid
