AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
5.665,3.222,8.53,0.0574,0.0698,0.1272,0.792,1.266,1.052,401,124.45,70.78,51,23,28,25,48,6,57,16,11,10,51,CCH16-ST1.TextGrid
5.794,3.131,8.74,0.0471,0.0741,0.1212,0.634,1.579,1.211,297,94.86,51.26,36,14,22,23,35,3,42,14,6,9,36,CCH16-ST2.TextGrid
4.298,2.732,8.37,0.0346,0.1069,0.1415,0.687,1.025,0.942,318,116.39,73.99,45,11,34,22,39,4,58,24,16,16,45,CCM35-ST1.TextGrid
4.326,3.016,9.17,0.0523,0.0614,0.1136,0.602,1.124,0.884,440,145.91,101.7,50,23,27,28,49,4,64,20,4,2,50,CCM35-ST2.TextGrid
5.146,3.348,8.7,0.0523,0.0697,0.122,0.657,1.004,0.855,287,85.72,55.77,35,15,20,12,33,1,38,6,3,3,35,CCS09-ST1.TextGrid
4.865,3.149,10.16,0.0431,0.0615,0.1046,0.423,1.524,1.071,325,103.21,66.81,34,14,20,19,33,3,40,12,3,3,34,CCS09-ST2.TextGrid
4.326,2.186,5.54,0.0799,0.1215,0.2014,0.866,1.293,1.123,288,131.72,66.57,58,23,35,16,52,13,70,32,20,20,58,CCS45-ST1.TextGrid
4.513,2.032,4.56,0.1141,0.1171,0.2312,0.743,1.587,1.17,333,163.91,73.79,77,38,39,29,74,13,88,33,22,21,77,CCS45-ST2.TextGrid
5.302,3.475,9.23,0.0614,0.0505,0.1119,0.472,1.39,0.887,554,159.44,104.48,62,34,28,35,61,2,70,13,3,7,62,CCT15-ST1.TextGrid
5.346,3.664,8.73,0.0691,0.0471,0.1162,0.5,1.089,0.739,637,173.84,119.16,74,44,30,37,74,0,76,0,0,0,74,CCT15-ST2.TextGrid
5.275,2.79,9.44,0.0516,0.0598,0.1114,0.882,2.063,1.516,368,131.91,69.77,41,19,22,24,40,6,52,18,7,6,41,EAU18-ST1.TextGrid
5.245,2.494,7.7,0.0621,0.0847,0.1469,1.138,1.647,1.432,354,141.95,67.49,52,22,30,22,47,4,59,13,8,8,52,EAU18-ST2.TextGrid
5.234,2.565,6.74,0.0873,0.0699,0.1572,0.616,2.075,1.265,229,89.28,43.75,36,20,16,16,35,5,42,12,5,1,36,ENZ20-ST1.TextGrid
4.58,1.877,4.82,0.1259,0.1185,0.2444,0.681,1.93,1.286,135,71.93,29.47,33,17,16,13,29,1,40,12,5,5,33,ENZ20-ST2.TextGrid
5.875,2.378,8.27,0.0604,0.0659,0.1264,0.828,3.037,1.981,182,76.54,30.98,23,11,12,13,23,0,23,0,0,0,23,ENZ31-ST1.TextGrid
5.478,2.63,10.18,0.0289,0.0751,0.104,0.51,2.434,1.9,173,65.77,31.58,18,5,13,14,18,0,18,0,0,0,18,ENZ31-ST2.TextGrid
3.872,1.217,5.24,0.0883,0.106,0.1943,1.847,3.779,2.901,283,232.63,73.08,55,25,30,18,55,0,57,0,0,0,55,EUS11-ST1.TextGrid
3.51,0.959,4.0,0.163,0.1087,0.2717,2.657,2.982,2.787,184,191.77,52.42,50,30,20,13,47,1,52,6,4,4,50,EUS11-ST2.TextGrid
4.369,2.152,5.23,0.113,0.0826,0.1957,0.742,1.84,1.205,230,106.88,52.64,45,26,19,17,44,7,51,18,8,4,45,EUS32-ST1.TextGrid
4.175,1.908,4.73,0.1162,0.1162,0.2324,0.998,1.451,1.224,284,148.82,68.02,66,33,33,21,61,9,68,18,11,6,66,EUS32-ST2.TextGrid
4.859,2.253,6.62,0.1067,0.0533,0.16,0.878,2.708,1.488,225,99.87,46.31,36,24,12,12,35,3,41,8,3,0,36,IID15-ST1.TextGrid
5.052,2.596,7.0,0.0731,0.0797,0.1528,0.93,1.497,1.226,301,115.96,59.58,46,22,24,17,44,2,50,8,3,2,46,IID15-ST2.TextGrid
5.683,3.422,8.88,0.0535,0.0704,0.1239,0.474,1.291,0.938,355,103.75,62.47,44,19,25,17,41,1,49,9,5,5,44,IID22-ST1.TextGrid
5.396,3.169,6.85,0.0612,0.0941,0.1553,0.753,0.894,0.838,425,134.1,78.77,66,26,40,21,62,2,69,11,5,6,66,IID22-ST2.TextGrid
4.374,1.783,4.22,0.1337,0.1086,0.2423,0.973,1.86,1.371,359,201.31,82.08,87,48,39,21,86,2,101,17,2,0,87,IID35-ST1.TextGrid
4.616,1.815,4.69,0.1136,0.1108,0.2244,1.322,1.663,1.49,361,198.94,78.21,81,41,40,16,78,3,89,7,7,6,81,IID35-ST2.TextGrid
3.949,2.017,6.2,0.0806,0.0968,0.1774,0.597,2.009,1.367,124,61.49,31.4,22,10,12,9,21,2,29,9,2,0,22,IID40-ST1.TextGrid
4.424,2.649,8.04,0.0757,0.0541,0.1297,0.644,1.9,1.168,185,69.84,41.82,24,14,10,11,24,1,28,6,1,1,24,IID40-ST2.TextGrid
4.575,1.618,4.22,0.1446,0.1004,0.245,1.373,2.001,1.63,249,153.86,54.42,61,36,25,10,60,1,64,4,1,1,61,IID41-ST1.TextGrid
4.376,1.487,4.11,0.0812,0.1667,0.2479,1.444,1.961,1.792,234,157.39,53.47,58,19,39,13,58,0,58,0,0,0,58,IID41-ST2.TextGrid
4.604,1.756,5.55,0.0956,0.1066,0.2022,1.374,2.071,1.742,272,154.87,59.08,55,26,29,13,49,14,71,39,23,19,55,KKD19-ST1.TextGrid
4.352,1.808,4.74,0.1282,0.1083,0.2365,1.04,1.756,1.368,351,194.18,80.64,83,45,38,28,74,20,93,44,32,27,83,KKD19-ST2.TextGrid
6.083,3.924,17.07,0.0312,0.043,0.0742,0.518,1.728,1.218,256,65.23,42.09,19,8,11,18,16,1,21,7,3,4,19,KKD27-ST1.TextGrid
6.043,4.06,14.62,0.0299,0.0641,0.094,0.316,1.114,0.86,234,57.64,38.72,22,7,15,10,17,3,26,12,7,7,22,KKD27-ST2.TextGrid
4.57,2.216,5.44,0.0934,0.0964,0.1898,0.726,1.708,1.225,332,149.8,72.65,63,31,32,30,62,9,82,28,12,9,63,KKD46-ST1.TextGrid
4.595,2.422,5.81,0.0848,0.1022,0.187,0.732,1.303,1.044,401,165.57,87.27,75,34,41,32,70,11,88,28,19,16,75,KKD46-ST2.TextGrid
5.904,2.955,7.2,0.0913,0.0595,0.1508,0.66,1.829,1.121,252,85.28,42.68,38,23,15,17,36,6,46,16,8,6,38,KKR24-ST1.TextGrid
