AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_mora,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
5.827,3.222,8.53,0.0574,0.0698,0.1272,0.814,1.318,1.091,401,124.45,68.82,51,23,28,25,48,4,57,16,7,6,51,CCH16-ST1.TextGrid
5.979,3.131,8.74,0.0505,0.0741,0.1246,0.707,1.572,1.221,297,94.86,49.67,37,15,22,23,35,3,42,14,3,2,37,CCH16-ST2.TextGrid
4.576,2.732,8.37,0.0346,0.1038,0.1384,0.687,1.192,1.066,318,116.39,69.5,44,11,33,22,39,2,58,24,6,5,44,CCM35-ST1.TextGrid
4.355,3.016,9.17,0.0523,0.0614,0.1136,0.602,1.149,0.898,440,145.91,101.03,50,23,27,28,49,3,64,20,4,2,50,CCM35-ST2.TextGrid
5.198,3.348,8.7,0.0523,0.0627,0.115,0.657,1.147,0.924,287,85.72,55.21,33,15,18,12,33,1,38,6,1,1,33,CCS09-ST1.TextGrid
4.951,3.149,10.16,0.0431,0.0615,0.1046,0.453,1.562,1.105,325,103.21,65.64,34,14,20,19,33,1,40,12,1,1,34,CCS09-ST2.TextGrid
4.671,2.186,5.54,0.0799,0.1111,0.191,0.926,1.524,1.274,288,131.72,61.65,55,23,32,16,52,7,70,32,9,7,55,CCS45-ST1.TextGrid
4.754,2.032,4.56,0.1141,0.1111,0.2252,0.781,1.735,1.251,333,163.91,70.05,75,38,37,29,74,9,88,33,12,11,75,CCS45-ST2.TextGrid
5.33,3.475,9.23,0.0614,0.0505,0.1119,0.476,1.405,0.895,554,159.44,103.95,62,34,28,35,61,2,70,13,2,2,62,CCT15-ST1.TextGrid
5.346,3.664,8.73,0.0691,0.0471,0.1162,0.5,1.089,0.739,637,173.84,119.16,74,44,30,37,74,0,76,0,0,0,74,CCT15-ST2.TextGrid
