AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,vad_pause_candidates,vad_pauses_split,vad_speech_islands,vad_refined_pause_count,file,audio_path
3.428,2.354,3.44,0.1964,0.0945,0.2909,0.425,0.525,0.457,275,116.81,80.23,80,54,26,30,80,13,13,80,ALL_091_M_TUR_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_091_M_TUR_ENG_ST2.wav
3.291,2.354,7.18,0.0744,0.0687,0.1431,0.688,1.015,0.845,524,222.61,159.24,75,39,36,62,74,8,9,75,ALL_096_F_KOR_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_096_F_KOR_ENG_ST2.wav
3.389,1.965,5.18,0.0918,0.1063,0.1981,0.856,1.273,1.08,207,105.35,61.08,41,19,22,32,41,3,3,41,ALL_097_F_KOR_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_097_F_KOR_ENG_ST2.wav
4.073,3.427,13.58,0.0368,0.0429,0.0798,0.528,0.626,0.581,163,47.56,40.02,13,6,7,17,13,2,4,13,ALL_098_M_GER_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_098_M_GER_ENG_ST2.wav
4.753,3.406,8.08,0.0309,0.0928,0.1237,0.71,0.66,0.672,97,28.48,20.41,12,3,9,16,12,2,3,12,ALL_099_M_SHS_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_099_M_SHS_ENG_ST1.wav
4.502,2.79,7.42,0.0393,0.1011,0.1404,0.771,1.047,0.97,178,63.79,39.54,25,7,18,26,25,3,3,25,ALL_100_F_SHS_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_100_F_SHS_ENG_ST1.wav
4.015,2.799,7.24,0.0773,0.0608,0.1381,0.851,0.697,0.783,181,64.66,45.09,25,14,11,22,25,4,4,25,ALL_100_F_SHS_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_100_F_SHS_ENG_ST2.wav
5.121,4.003,11.74,0.0269,0.0583,0.0852,0.549,0.683,0.64,223,55.71,43.54,19,6,13,26,19,1,2,19,ALL_102_M_SHS_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_102_M_SHS_ENG_ST2.wav
4.162,2.978,8.0,0.0542,0.0833,0.1375,0.469,0.841,0.695,240,80.59,57.67,33,13,20,33,31,5,7,33,ALL_104_M_SHS_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_104_M_SHS_ENG_ST2.wav
3.632,2.477,5.69,0.0603,0.1206,0.1809,0.527,0.801,0.71,199,80.34,54.79,36,12,24,25,36,3,5,36,ALL_112_F_KOR_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_112_F_KOR_ENG_ST1.wav
2.93,1.874,4.1,0.1463,0.1037,0.25,0.745,0.805,0.77,164,87.52,55.97,41,24,17,18,41,5,8,41,ALL_113_M_JPN_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_113_M_JPN_ENG_ST1.wav
4.56,3.766,10.14,0.0141,0.0704,0.0845,0.67,0.522,0.547,71,18.85,15.57,6,1,5,12,6,0,0,6,ALL_124_M_SHS_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_124_M_SHS_ENG_ST1.wav
2.582,1.761,3.69,0.2542,0.0678,0.322,0.54,0.642,0.561,118,67.02,45.7,38,30,8,13,33,10,10,38,ALL_126_M_TUR_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_126_M_TUR_ENG_ST1.wav
3.543,1.815,6.46,0.1018,0.0708,0.1726,0.599,2.936,1.558,226,124.54,63.79,39,23,16,26,35,5,8,39,ALL_139_M_PBR_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_139_M_PBR_ENG_ST1.wav
3.32,1.669,6.15,0.05,0.125,0.175,0.508,2.181,1.703,80,47.94,24.1,14,4,10,11,14,1,1,14,ALL_146_F_VIE_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_146_F_VIE_ENG_ST1.wav
3.268,1.813,5.52,0.0938,0.1187,0.2125,0.981,1.294,1.156,160,88.26,48.96,34,15,19,21,30,2,4,34,ALL_151_M_HEB_ENG_ST1.TextGrid,en\data\allsstar_full_manual\wav\ALL_151_M_HEB_ENG_ST1.wav
3.202,2.181,6.47,0.0976,0.0691,0.1667,0.57,1.312,0.878,246,112.8,76.82,41,24,17,36,39,8,9,41,ALL_151_M_HEB_ENG_ST2.TextGrid,en\data\allsstar_full_manual\wav\ALL_151_M_HEB_ENG_ST2.wav
