file_id,task,AR_auto,AR_manual,SR_auto,SR_manual,MLR_auto,MLR_manual,MCPR_auto,MCPR_manual,ECPR_auto,ECPR_manual,PR_auto,PR_manual,MCPD_auto,MCPD_manual,ECPD_auto,ECPD_manual,MPD_auto,MPD_manual
ALL_017_F_KOR_ENG_ST1,ST1,3.493,3.44,2.367,2.403,7.5,8.56,0.0593,0.0584,0.0778,0.062,0.137,0.1204,0.562,0.544,1.322,1.511,0.993,1.043
ALL_017_F_KOR_ENG_ST2,ST2,3.442,3.393,2.405,2.255,8.0,7.5,0.0764,0.0778,0.0521,0.0593,0.1285,0.137,0.88,0.83,1.113,1.42,0.975,1.085
ALL_018_F_CMN_ENG_ST1,ST1,2.957,2.96,1.907,1.88,3.93,4.06,0.1243,0.1144,0.1329,0.1349,0.2572,0.2493,0.432,0.452,0.996,1.055,0.723,0.779
ALL_018_F_CMN_ENG_ST2,ST2,3.379,3.437,2.066,2.14,4.82,5.28,0.0858,0.0741,0.1242,0.1176,0.2099,0.1917,0.681,0.59,1.045,1.127,0.896,0.919
ALL_020_M_CMN_ENG_ST1,ST1,4.852,4.873,3.274,3.338,5.71,6.72,0.0817,0.0725,0.0973,0.0802,0.179,0.1527,0.507,0.503,0.595,0.722,0.555,0.618
ALL_020_M_CMN_ENG_ST2,ST2,4.815,5.083,3.415,3.601,7.34,7.53,0.0623,0.0554,0.0778,0.0812,0.1401,0.1365,0.544,0.519,0.659,0.644,0.608,0.593
ALL_021_M_CMN_ENG_ST1,ST1,3.674,4.342,2.368,2.586,4.6,4.49,0.1371,0.1494,0.0827,0.0758,0.2199,0.2251,0.597,0.611,0.826,0.859,0.683,0.695
ALL_023_M_KOR_ENG_ST1,ST1,3.056,3.577,1.647,1.742,3.56,3.37,0.1901,0.1719,0.0992,0.1328,0.2893,0.3047,0.74,0.733,1.404,1.269,0.968,0.966
ALL_023_M_KOR_ENG_ST2,ST2,3.395,3.823,1.955,1.978,3.9,3.77,0.1585,0.1807,0.0854,0.0964,0.2439,0.2771,0.814,0.99,1.031,0.674,0.89,0.88
ALL_025_M_TUR_ENG_ST1,ST1,3.238,3.666,1.811,2.04,4.05,3.45,0.16,0.2012,0.0867,0.0947,0.2467,0.2959,1.079,0.737,0.817,0.731,0.987,0.735
ALL_025_M_TUR_ENG_ST2,ST2,3.65,3.875,2.136,2.355,4.82,4.68,0.1399,0.148,0.0676,0.0655,0.2075,0.2135,0.88,0.714,1.054,0.931,0.936,0.78
ALL_026_F_JPN_ENG_ST1,ST1,3.389,3.276,2.294,2.343,4.7,5.54,0.0922,0.0764,0.1277,0.1111,0.2199,0.1875,0.577,0.556,0.687,0.712,0.641,0.649
ALL_026_F_JPN_ENG_ST2,ST2,3.284,3.377,2.095,2.219,5.51,5.98,0.1097,0.0996,0.0717,0.0677,0.1814,0.1673,0.735,0.698,1.285,1.255,0.952,0.923
ALL_029_M_TUR_ENG_ST1,ST1,4.992,5.141,2.826,2.938,5.36,5.58,0.0904,0.0924,0.1017,0.0924,0.1921,0.1848,0.767,0.79,0.828,0.789,0.799,0.789
