file_id,task,AR_auto,AR_manual,SR_auto,SR_manual,MLR_auto,MLR_manual,MCPR_auto,MCPR_manual,ECPR_auto,ECPR_manual,PR_auto,PR_manual,MCPD_auto,MCPD_manual,ECPD_auto,ECPD_manual,MPD_auto,MPD_manual
ALL_106_M_SHS_ENG_ST2,ST2,4.644,4.247,2.194,2.182,5.56,5.88,0.0794,0.0745,0.1005,0.0957,0.1799,0.1702,0.833,0.998,1.734,1.55,1.337,1.309
ALL_107_F_SHS_ENG_ST1,ST1,4.041,3.666,2.574,2.668,5.64,6.92,0.0826,0.0678,0.0979,0.0796,0.1804,0.1475,0.761,0.603,0.799,0.766,0.782,0.691
ALL_107_F_SHS_ENG_ST2,ST2,4.396,3.96,3.083,3.123,6.7,8.32,0.0763,0.0561,0.0763,0.0673,0.1526,0.1234,0.641,0.556,0.63,0.543,0.635,0.549
ALL_108_M_SHS_ENG_ST1,ST1,4.521,4.223,3.449,3.449,8.05,10.73,0.0497,0.0311,0.0745,0.0621,0.1242,0.0932,0.521,0.588,0.575,0.562,0.554,0.571
ALL_108_M_SHS_ENG_ST2,ST2,5.116,4.961,3.908,4.019,12.73,15.16,0.025,0.0208,0.0571,0.0486,0.0821,0.0694,0.609,0.674,0.791,0.683,0.736,0.68
ALL_109_F_SHS_ENG_ST1,ST1,3.42,3.266,2.202,2.179,6.1,6.68,0.0794,0.0642,0.0899,0.0909,0.1693,0.1551,0.981,1.042,0.931,0.944,0.955,0.985
ALL_109_F_SHS_ENG_ST2,ST2,3.481,3.225,2.017,2.017,5.65,5.77,0.0939,0.0794,0.0866,0.0975,0.1805,0.1769,1.054,0.947,1.265,1.134,1.155,1.05
ALL_110_M_KOR_ENG_ST1,ST1,2.901,3.271,1.308,1.464,3.21,3.49,0.2018,0.2131,0.1101,0.0738,0.3119,0.2869,1.254,1.264,1.514,1.46,1.345,1.315
ALL_111_M_HEB_ENG_ST1,ST1,4.328,4.497,2.742,2.681,7.05,7.71,0.0597,0.0611,0.0896,0.0763,0.1493,0.1374,0.798,0.865,0.961,1.282,0.895,1.097
ALL_111_M_HEB_ENG_ST2,ST2,4.005,4.185,2.436,2.485,6.0,5.46,0.1067,0.1176,0.0667,0.0719,0.1733,0.1895,0.757,0.701,1.201,1.127,0.928,0.862
ALL_112_F_KOR_ENG_ST1,ST1,3.772,3.739,2.477,2.502,5.69,6.48,0.0603,0.0647,0.1206,0.0945,0.1809,0.1592,0.548,0.587,0.875,0.997,0.766,0.831
ALL_112_F_KOR_ENG_ST2,ST2,3.695,3.752,2.629,2.708,6.33,6.75,0.079,0.0661,0.0817,0.0847,0.1608,0.1508,0.593,0.61,0.769,0.738,0.683,0.682
ALL_113_M_JPN_ENG_ST1,ST1,3.138,3.091,1.874,2.034,4.1,4.56,0.1463,0.1348,0.1037,0.0899,0.25,0.2247,0.899,0.733,0.805,0.771,0.86,0.748
ALL_113_M_JPN_ENG_ST2,ST2,3.059,2.852,1.789,1.9,4.29,5.17,0.1575,0.1226,0.0822,0.0774,0.2397,0.2,0.8,0.853,1.289,0.919,0.968,0.879
ALL_115_M_TUR_ENG_ST1,ST1,3.755,3.907,2.602,2.745,4.54,4.96,0.1496,0.1269,0.0709,0.0746,0.2205,0.2015,0.587,0.543,0.426,0.529,0.536,0.538
ALL_115_M_TUR_ENG_ST2,ST2,3.989,3.881,2.682,2.682,4.7,5.53,0.1489,0.0957,0.0532,0.0851,0.2021,0.1809,0.602,0.571,0.61,0.711,0.604,0.637
ALL_117_M_HIN_ENG_ST1,ST1,4.245,3.781,2.944,3.019,6.57,8.08,0.0914,0.0693,0.066,0.0594,0.1574,0.1287,0.716,0.512,0.586,0.527,0.661,0.519
ALL_117_M_HIN_ENG_ST2,ST2,4.046,3.88,3.007,3.02,7.47,7.76,0.0893,0.0844,0.0446,0.0444,0.1339,0.1289,0.673,0.604,0.567,0.504,0.638,0.569
ALL_118_M_HIN_ENG_ST1,ST1,4.741,4.58,3.796,3.963,14.57,16.38,0.0196,0.0188,0.049,0.0423,0.0686,0.061,0.868,0.688,0.724,0.498,0.765,0.557
ALL_118_M_HIN_ENG_ST2,ST2,4.358,4.09,3.383,3.577,8.95,13.46,0.0695,0.0429,0.0423,0.0314,0.1118,0.0743,0.613,0.46,0.556,0.488,0.591,0.472
ALL_119_F_KOR_ENG_ST1,ST1,3.099,3.289,1.45,1.45,3.27,3.13,0.1973,0.2041,0.1156,0.1224,0.3129,0.3265,1.11,1.074,1.28,1.359,1.173,1.181
ALL_119_F_KOR_ENG_ST2,ST2,3.091,3.26,1.504,1.548,3.11,3.31,0.2126,0.1899,0.1149,0.1173,0.3276,0.3073,1.059,1.07,1.009,1.161,1.041,1.104
ALL_120_F_VIE_ENG_ST1,ST1,3.634,3.144,1.964,1.964,3.5,3.92,0.1429,0.1224,0.1429,0.1327,0.2857,0.2551,0.632,0.598,1.005,0.888,0.819,0.749
ALL_120_F_VIE_ENG_ST2,ST2,3.376,3.07,2.031,2.102,4.5,5.14,0.1319,0.1141,0.0972,0.0872,0.2292,0.2013,0.807,0.668,0.922,0.846,0.856,0.745
ALL_121_F_KOR_ENG_ST1,ST1,2.399,2.788,0.73,0.831,2.19,2.33,0.3085,0.271,0.1596,0.1682,0.4681,0.4393,1.474,1.563,3.119,2.5,2.035,1.922
ALL_121_F_KOR_ENG_ST2,ST2,2.465,2.417,0.817,0.883,2.59,2.89,0.28,0.2469,0.12,0.1111,0.4,0.358,1.869,1.581,2.456,2.961,2.045,2.009
ALL_122_M_TUR_ENG_ST1,ST1,4.12,4.211,2.039,1.943,4.41,4.21,0.12,0.1049,0.1133,0.1399,0.2333,0.2448,1.232,1.241,0.882,1.05,1.062,1.132
ALL_122_M_TUR_ENG_ST2,ST2,3.397,3.378,1.666,1.854,3.93,3.94,0.1638,0.1624,0.096,0.0964,0.2599,0.2589,1.233,0.917,1.081,0.978,1.177,0.94
ALL_124_M_SHS_ENG_ST1,ST1,4.56,4.458,3.766,3.766,10.14,10.14,0.0141,0.0141,0.0704,0.0704,0.0845,0.0845,0.67,0.662,0.522,0.453,0.547,0.488
ALL_124_M_SHS_ENG_ST2,ST2,4.735,4.647,3.981,3.981,9.5,9.5,0.0395,0.0395,0.0526,0.0526,0.0921,0.0921,0.43,0.353,0.438,0.419,0.434,0.391
ALL_125_F_TUR_ENG_ST1,ST1,4.236,4.279,3.341,3.323,10.71,12.07,0.033,0.0221,0.0604,0.0608,0.0934,0.0829,0.658,0.867,0.688,0.791,0.677,0.812
ALL_125_F_TUR_ENG_ST2,ST2,4.138,4.015,3.032,2.66,9.0,8.33,0.0468,0.0533,0.0702,0.0733,0.117,0.1267,0.549,0.537,0.891,1.34,0.754,1.002
ALL_126_M_TUR_ENG_ST1,ST1,3.052,2.968,1.761,1.865,3.69,3.29,0.2288,0.256,0.0508,0.056,0.2797,0.312,0.792,0.595,1.162,0.837,0.859,0.639
ALL_126_M_TUR_ENG_ST2,ST2,2.729,2.928,1.532,1.749,2.73,3.06,0.2612,0.2418,0.1119,0.0915,0.3731,0.3333,0.716,0.635,0.887,0.835,0.767,0.69
ALL_144_M_RUS_ENG_ST2,ST2,4.374,4.389,1.941,2.02,5.6,6.0,0.0893,0.0735,0.0918,0.0956,0.1811,0.1691,1.037,0.964,2.113,2.053,1.582,1.58
ALL_145_F_VIE_ENG_ST2,ST2,3.763,3.462,2.042,2.058,6.32,6.38,0.1186,0.1098,0.0395,0.0471,0.1581,0.1569,0.951,0.792,2.814,2.339,1.416,1.256
ALL_146_F_VIE_ENG_ST1,ST1,3.401,3.239,1.669,1.69,6.15,7.36,0.05,0.037,0.125,0.1111,0.175,0.1481,0.652,0.685,2.181,2.319,1.744,1.911
ALL_146_F_VIE_ENG_ST2,ST2,3.166,2.809,1.857,1.805,4.91,4.88,0.125,0.119,0.0833,0.0905,0.2083,0.2095,0.82,0.729,1.442,1.229,1.069,0.945
ALL_149_M_HIN_ENG_ST1,ST1,4.821,4.427,2.639,2.67,5.79,7.08,0.0774,0.0529,0.1012,0.0941,0.1786,0.1471,0.6,0.744,1.236,1.161,0.961,1.011
ALL_149_M_HIN_ENG_ST2,ST2,4.65,4.471,2.815,2.827,8.82,8.86,0.0445,0.0323,0.0729,0.0847,0.1174,0.1169,0.785,0.499,1.443,1.346,1.194,1.113
ALL_150_F_HIN_ENG_ST1,ST1,4.057,3.909,2.496,2.532,9.9,11.72,0.0288,0.019,0.0769,0.0711,0.1058,0.09,0.433,0.379,1.842,1.856,1.458,1.545
ALL_150_F_HIN_ENG_ST2,ST2,4.076,3.794,2.696,2.826,9.22,9.94,0.0452,0.0374,0.0663,0.0661,0.1114,0.1034,0.721,0.507,1.403,1.079,1.126,0.873
ALL_151_M_HEB_ENG_ST1,ST1,3.457,3.342,1.813,1.847,5.52,5.43,0.0938,0.092,0.0938,0.0982,0.1875,0.1902,0.981,1.056,1.818,1.478,1.399,1.274
ALL_151_M_HEB_ENG_ST2,ST2,3.422,3.257,2.181,2.048,6.47,6.6,0.0894,0.0823,0.0691,0.0736,0.1585,0.1558,0.681,0.671,1.525,1.714,1.049,1.163
