file_id,task,in_full_quality_174,in_gold40_raw,in_gold40_quality_39,excluded_by_quality_filter
ALL_088_M_CCT_ENG_ST1,ST1,True,False,False,False
ALL_088_M_CCT_ENG_ST2,ST2,True,False,False,False
ALL_090_F_TUR_ENG_ST1,ST1,True,False,False,False
ALL_090_F_TUR_ENG_ST2,ST2,True,False,False,False
ALL_091_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_091_M_TUR_ENG_ST2,ST2,True,True,True,False
ALL_092_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_092_M_TUR_ENG_ST2,ST2,True,False,False,False
ALL_093_M_TUR_ENG_ST1,ST1,True,False,False,False
ALL_093_M_TUR_ENG_ST2,ST2,False,False,False,True
ALL_094_F_KOR_ENG_ST1,ST1,True,False,False,False
ALL_094_F_KOR_ENG_ST2,ST2,True,False,False,False
ALL_095_M_KOR_ENG_ST1,ST1,True,False,False,False
ALL_095_M_KOR_ENG_ST2,ST2,True,False,False,False
ALL_096_F_KOR_ENG_ST1,ST1,True,False,False,False
ALL_096_F_KOR_ENG_ST2,ST2,True,True,True,False
ALL_097_F_KOR_ENG_ST1,ST1,True,False,False,False
ALL_097_F_KOR_ENG_ST2,ST2,True,True,True,False
ALL_098_M_GER_ENG_ST1,ST1,True,False,False,False
ALL_098_M_GER_ENG_ST2,ST2,True,True,True,False
ALL_099_M_SHS_ENG_ST1,ST1,True,True,True,False
ALL_099_M_SHS_ENG_ST2,ST2,True,False,False,False
ALL_100_F_SHS_ENG_ST1,ST1,True,True,True,False
ALL_100_F_SHS_ENG_ST2,ST2,True,True,True,False
ALL_101_M_SHS_ENG_ST1,ST1,True,False,False,False
ALL_101_M_SHS_ENG_ST2,ST2,True,False,False,False
ALL_102_M_SHS_ENG_ST1,ST1,True,False,False,False
ALL_102_M_SHS_ENG_ST2,ST2,True,True,True,False
ALL_103_F_SHS_ENG_ST1,ST1,True,False,False,False
ALL_103_F_SHS_ENG_ST2,ST2,True,False,False,False
ALL_104_M_SHS_ENG_ST1,ST1,True,False,False,False
ALL_104_M_SHS_ENG_ST2,ST2,True,True,True,False
ALL_105_M_SHS_ENG_ST1,ST1,True,False,False,False
ALL_105_M_SHS_ENG_ST2,ST2,True,False,False,False
ALL_106_M_SHS_ENG_ST1,ST1,True,False,False,False
ALL_106_M_SHS_ENG_ST2,ST2,True,False,False,False
ALL_107_F_SHS_ENG_ST1,ST1,True,False,False,False
ALL_107_F_SHS_ENG_ST2,ST2,True,False,False,False
ALL_108_M_SHS_ENG_ST1,ST1,True,False,False,False
ALL_108_M_SHS_ENG_ST2,ST2,True,False,False,False
ALL_109_F_SHS_ENG_ST1,ST1,True,False,False,False
ALL_109_F_SHS_ENG_ST2,ST2,True,False,False,False
ALL_110_M_KOR_ENG_ST1,ST1,True,False,False,False
