AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,clf_pause_candidates,clf_pauses_split,clf_vad_islands_detected,clf_islands_scored,clf_predicted_speech_islands,clf_fallback_vad_islands_used,clf_refined_pause_count,file
3.102,1.747,3.29,0.228,0.1,0.328,0.685,0.94,0.763,250,143.14,80.59,82,57,25,23,77,20,91,45,28,35,82,ALL_039_M_CMN_ENG_ST2.TextGrid
2.919,2.029,4.23,0.1364,0.1,0.2364,0.543,0.763,0.636,220,108.43,75.36,52,30,22,27,52,9,59,25,12,21,52,ALL_043_M_CMN_ENG_ST2.TextGrid
3.347,1.901,4.43,0.1198,0.1244,0.2442,0.721,1.134,0.931,217,114.18,64.83,53,26,27,25,50,5,52,12,9,8,53,ALL_044_F_FRA_ENG_ST1.TextGrid
3.393,2.252,5.29,0.1152,0.0783,0.1935,0.741,0.818,0.772,217,96.37,63.95,42,25,17,21,42,8,43,16,9,11,42,ALL_044_F_FRA_ENG_ST2.TextGrid
4.766,3.269,7.27,0.0367,0.1009,0.1376,0.954,0.605,0.698,109,33.34,22.87,15,4,11,16,15,2,15,2,2,2,15,ALL_046_F_FAR_ENG_ST1.TextGrid
4.047,2.915,6.04,0.0956,0.0772,0.1728,0.488,0.639,0.555,272,93.32,67.21,47,26,21,34,46,9,46,14,9,12,47,ALL_047_M_FAR_ENG_ST2.TextGrid
2.508,1.176,3.53,0.177,0.115,0.292,1.052,2.309,1.547,113,96.1,45.06,33,20,13,14,33,4,37,8,6,7,33,ALL_074_F_CCT_ENG_ST2.TextGrid
3.226,1.944,3.23,0.1929,0.1269,0.3198,0.593,0.709,0.639,197,101.33,61.06,63,38,25,27,62,3,65,10,3,5,63,ALL_075_F_CCT_ENG_ST1.TextGrid
3.253,1.589,4.06,0.1357,0.1156,0.2513,1.039,1.566,1.282,199,125.25,61.17,50,27,23,28,50,5,57,11,10,10,50,ALL_078_F_CCT_ENG_ST2.TextGrid
4.335,2.129,4.24,0.1179,0.1231,0.241,0.692,1.279,0.992,195,91.58,44.98,47,23,24,26,47,2,51,7,2,2,47,ALL_087_M_CCT_ENG_ST1.TextGrid
3.621,2.354,3.44,0.2,0.0945,0.2945,0.468,0.582,0.504,275,116.81,75.95,81,55,26,30,80,7,82,24,8,15,81,ALL_091_M_TUR_ENG_ST2.TextGrid
