track,subset,measure,n,mean_auto,mean_manual,pearson_r,pearson_p,spearman_rho,spearman_p,icc_2_1,bias,mae
baseline,ST2,MLR,20,7.1485,7.5055,0.986,1.6468100996338701e-15,0.955,6.23787604797925e-11,0.961,-0.357,0.572
baseline,ST2,MCPR,20,0.0787,0.0781,0.927,4.200116022464046e-09,0.938,9.762241109318062e-10,0.93,0.0007,0.009
baseline,ST2,ECPR,20,0.0823,0.0813,0.916,1.4787583471037877e-08,0.908,3.1181007427000656e-08,0.915,0.0009,0.0079
baseline,ST2,PR,20,0.161,0.1594,0.988,4.898848571803642e-16,0.95,1.4563168008583287e-10,0.98,0.0016,0.0094
baseline,ST2,MCPD,20,0.9351,0.7714,0.953,9.391436310376842e-11,0.916,1.4853059816575505e-08,0.881,0.1637,0.1738
baseline,ST2,ECPD,20,1.7866,1.6004,0.953,9.281617503287535e-11,0.892,1.3029570145042408e-07,0.908,0.1862,0.2013
baseline,ST2,MPD,20,1.3832,1.2074,0.945,3.329243191492368e-10,0.887,1.9093452296185464e-07,0.884,0.1758,0.1872
vad,Overall,AR,40,4.8202,4.8446,0.773,4.965628307884431e-09,0.778,3.4022915716096955e-09,0.772,-0.0243,0.4235
vad,Overall,SR,40,2.5632,2.6691,0.992,6.386260264020728e-36,0.988,1.9663246396683248e-32,0.982,-0.1059,0.1161
vad,Overall,MLR,40,7.36,7.645,0.991,2.26106233004955e-34,0.987,1.5979551013115798e-31,0.975,-0.285,0.46
vad,Overall,MCPR,40,0.0784,0.0767,0.913,2.2090742941474364e-16,0.928,6.791196858128866e-18,0.912,0.0017,0.0098
vad,Overall,ECPR,40,0.0836,0.0782,0.832,2.827415574603899e-11,0.838,1.6111348371200495e-11,0.821,0.0054,0.013
vad,Overall,PR,40,0.1619,0.1549,0.972,2.26131156541604e-25,0.974,4.231699969776884e-26,0.962,0.0071,0.012
vad,Overall,MCPD,40,0.875,0.752,0.952,3.2294494324384937e-21,0.886,3.021304488960429e-14,0.892,0.1229,0.1365
vad,Overall,ECPD,40,1.7116,1.7399,0.76,1.2532295267957381e-08,0.604,3.663527176123189e-05,0.745,-0.0283,0.351
vad,Overall,MPD,40,1.2925,1.261,0.826,5.081045564011398e-11,0.622,1.8216777058185734e-05,0.818,0.0316,0.2207
